col row val
0 0 0.001253
1 0 0.000000
2 0 0.000005
3 0 0.000005
4 0 0.000000
5 0 0.000000
6 0 0.006191
7 0 0.142348
8 0 0.000000
9 0 0.000000
10 0 0.000000
11 0 0.000000
12 0 0.000316
13 0 0.000001
14 0 0.000000
15 0 0.000000
16 0 0.000000
17 0 0.000000
18 0 0.000001
19 0 0.000056
20 0 0.000000
21 0 0.000000
22 0 0.000000
23 0 0.000000
24 0 0.000007
25 0 0.007169
26 0 0.303892
27 0 0.311288
28 0 0.000000
29 0 0.000000
30 0 0.000000
31 0 0.000000
32 0 0.000000
33 0 0.000000
34 0 0.000000
35 0 0.000000
36 0 0.000000
37 0 0.000000
38 0 0.121141
39 0 0.104635
40 0 0.000001
41 0 0.000000
42 0 0.000000
43 0 0.000000
44 0 0.000000
45 0 0.000000
46 0 0.000000
47 0 0.000000
48 0 0.000287
49 0 0.001302
50 0 0.000100
51 0 0.000000
52 0 0.000000
53 0 0.000000
54 0 0.000000
55 0 0.000000
56 0 0.000000
57 0 0.000000
58 0 0.000000
59 0 0.000000
60 0 0.000000
61 0 0.000000

0 1 0.000014
1 1 0.000000
2 1 0.000000
3 1 0.000000
4 1 0.000001
5 1 0.000939
6 1 0.009336
7 1 0.572904
8 1 0.000000
9 1 0.000068
10 1 0.000000
11 1 0.000000
12 1 0.000000
13 1 0.000000
14 1 0.000000
15 1 0.000000
16 1 0.000000
17 1 0.000006
18 1 0.000002
19 1 0.416723
20 1 0.000000
21 1 0.000008
22 1 0.000000
23 1 0.000000
24 1 0.000000
25 1 0.000000
26 1 0.000000
27 1 0.000000
28 1 0.000000
29 1 0.000000
30 1 0.000000
31 1 0.000000
32 1 0.000000
33 1 0.000000
34 1 0.000000
35 1 0.000000
36 1 0.000000
37 1 0.000000
38 1 0.000000
39 1 0.000000
40 1 0.000000
41 1 0.000000
42 1 0.000000
43 1 0.000000
44 1 0.000000
45 1 0.000000
46 1 0.000000
47 1 0.000000
48 1 0.000000
49 1 0.000000
50 1 0.000000
51 1 0.000000
52 1 0.000000
53 1 0.000000
54 1 0.000000
55 1 0.000000
56 1 0.000000
57 1 0.000000
58 1 0.000000
59 1 0.000000
60 1 0.000000
61 1 0.000000

0 2 0.000027
1 2 0.000000
2 2 0.000000
3 2 0.000015
4 2 0.000000
5 2 0.000058
6 2 0.000001
7 2 0.000000
8 2 0.000000
9 2 0.003911
10 2 0.000000
11 2 0.000000
12 2 0.000000
13 2 0.000002
14 2 0.000000
15 2 0.000000
16 2 0.000000
17 2 0.000020
18 2 0.000000
19 2 0.000001
20 2 0.000000
21 2 0.000118
22 2 0.000000
23 2 0.000000
24 2 0.000000
25 2 0.000000
26 2 0.000039
27 2 0.168339
28 2 0.000000
29 2 0.000002
30 2 0.000000
31 2 0.000000
32 2 0.000003
33 2 0.000000
34 2 0.000000
35 2 0.000000
36 2 0.000000
37 2 0.000000
38 2 0.000750
39 2 0.015599
40 2 0.000002
41 2 0.000000
42 2 0.000000
43 2 0.000000
44 2 0.000003
45 2 0.000000
46 2 0.000000
47 2 0.000000
48 2 0.000000
49 2 0.000000
50 2 0.000026
51 2 0.005437
52 2 0.000000
53 2 0.000011
54 2 0.000000
55 2 0.000000
56 2 0.000000
57 2 0.000000
58 2 0.000000
59 2 0.000000
60 2 0.805637
61 2 0.000000
